city_name,latitude,longitude
Starogard Gdański,53.9671805,18.532113
Gniew,53.8342221,18.8251596
Tczew,54.09087615,18.77794352885673
Pelplin,53.9283217,18.6978494
Wejherowo,54.606068199999996,18.23178605516042
Rumia,54.56961015,18.38490411370485
Reda,54.6210145,18.32170890341879
Dzierzgoń,53.9239051,19.3479491
Sztum,53.9198663,19.0305384
Gdańsk,54.42880315,18.79832701217957
Gdynia,54.52333035,18.604027892041863
Słupsk,54.46357705,17.02094802171876
Sopot,54.4430399,18.561309520130756
Sławków,50.2984547,19.3898475
Siewierz,50.4710097,19.2318901
Czeladź,50.3184581,19.0736572
Wojkowice,50.3652915,19.0366218
Będzin,50.3356269,19.117295061584233
Szczyrk,49.7165976,19.0254613
Czechowice-Dziedzice,49.9112146,19.007564
Wilamowice,49.9167395,19.1524707
Wisła,52.380897,20.0867774
Skoczów,49.7999039,18.7877583
Cieszyn,49.7557676,18.65623134091032
Ustroń,49.7186488,18.825107461055197
Strumień,49.9171995,18.7634908
Przyrów,50.8051422,19.5254207
Koniecpol,50.7725294,19.6769723
Blachownia,50.7820239,18.9684255
Knurów,50.2071818,18.663707304011943
Sośnicowice,50.2722844,18.5298588
Toszek,50.4551063,18.5180604
Pyskowice,50.3980823,18.6277201
Krzepice,50.9706951,18.7255158
Kłobuck,50.9025547,18.93716
Lubliniec,50.669016,18.6825574
Woźniki,50.5870812,19.0595251
Łaziska Górne,50.1500892,18.8390661
Mikołów,50.1691812,18.9044238
Orzesze,50.108445149999994,18.792235021887763
Koziegłowy,50.5978707,19.1615203
Myszków,50.5736481,19.3219413
Żarki,50.6259563,19.3645599
Pszczyna,49.9778089,18.9423721
Krzanowice,50.017931,18.1216249
Racibórz,50.0917343,18.2196766
Kuźnia Raciborska,50.2007002,18.3105735
Czerwionka-Leszczyny,50.1449958,18.6531994
Kalety,50.5636291,18.885746
Miasteczko Śląskie,50.4915736,18.9230247
Tarnowskie Góry,50.4654128,18.833588437116568
Radzionków,50.4002717,18.9026247
Imielin,50.1440745,19.202583658240222
Lędziny,50.128624,19.11609220672
Bieruń,50.0931922,19.0918262
Wodzisław Śląski,50.0024107,18.4630383
Rydułtowy,50.058436,18.4171831
Radlin,50.0486957,18.4791456
Pszów,50.0449928,18.396218983578315
Włodowice,50.5520931,19.4504273
Ogrodzieniec,50.4521463,19.5213629
Pilica,51.2508597,19.9251145
Poręba,50.4875787,19.337879
Zawiercie,50.4844179,19.4333887
Szczekociny,50.6259216,19.8194681
Łazy,50.4276105,19.3948494
Żywiec,49.706496099999995,19.21914906371902
Bielsko-Biała,49.81207845,19.029198802013944
Bytom,50.3470387,18.9231857
Chorzów,50.288556299999996,18.97044253093511
Częstochowa,50.8089997,19.1244089281233
Dąbrowa Górnicza,50.369624,19.289046489684473
Gliwice,50.30113145,18.662347227971978
Jastrzębie-Zdrój,49.9519085,18.6023614
Jaworzno,50.1894999,19.272511168425055
Katowice,50.2137321,19.00588775660632
